,INVENTORY LIST,,,,,,,,,,,,,,,,,,,,
,TOTAL INVENTORY VALUE:,$0.00 ,INVENTORY ITEMS:,INVENTORY ITEMS:,83,BIN COUNT:,,1,,,,,,,,,,,,,
,SKU,DESCRIPTION,BIN #,LOCATION,UNIT,QTY,REORDER QTY,COST,INVENTORY VALUE,REORDER,,,,,,,,,,,
,999421,Lift4 5'4 Emerald Mist metallic Satin,,,Each,1,,,$0.00 ,,,,,,,,,,,,
,999418,Lift4 5'4 Carbon black satin,,,Each,1,,,$0.00 ,,,,,,,,,,,,
,,PYZEL wingboard (5'9?),,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,"SUP 82"" 115L",,,,1,,,$0.00 ,,,,,,,,,,,,
,101953,motor isolator ring 68,,Row 1,Each,20,,,$0.00 ,,,,,,,,,,,,
,101957,motor isolator ring 55,,Row 1,Each,10,,,$0.00 ,,,,,,,,,,,,
,80178,150 Grubb - Front Wing Kit,,Wing wall,Each,2,,,$0.00 ,,,,,,,,,,,,
,80174,90 Vario Front Wing - kit,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,80175,120 Vario Front Wing - kit,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,801405,150 Vario LCS Front Wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,340503,"32"" Carbon LCS Jet Propulsion for Lift5",,Row 3-1,Each,1,,,$0.00 ,,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,$0.00 ,Reorder,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
